"id","ultCot","cod","cotAtual","nAcoes","divYield","ultInsert","ultAt"
"1","2023-01-11","AESB3","9.4","601927000","0.9","2023-01-14 14:30:12","2023-11-07 14:03:23"
"2","2023-01-11","RAIL3","18.53","1854160000","0.1","2023-01-14 14:30:12","2023-11-07 14:03:25"
"3","2023-01-06","DMMO3","1.76","539349000","0","2023-01-14 14:30:12","2023-11-07 14:31:44"
"4","2023-01-11","ELMD3","11.68","139984000","0","2023-01-14 14:30:12","2023-11-07 14:03:28"
"5","2023-01-11","HAPV3","4.6","7539460000","0","2023-01-14 14:30:12","2023-11-07 14:03:30"
"6","2023-01-11","TPIS3","0.99","44000000","1.9","2023-01-14 14:30:12","2023-11-07 14:03:32"
"7","2023-01-11","YDUQ3","9.7","309089000","1.3","2023-01-14 14:30:12","2023-11-07 14:03:35"
"8","2023-01-11","ESPA3","1.54","361423000","0","2023-01-14 14:30:12","2023-11-07 14:03:37"
"9","2023-01-11","MGLU3","3.03","6748930000","0","2023-01-14 14:30:12","2023-11-07 14:03:39"
"10","2022-10-20","MTIG4","23","122351000","0","2023-01-14 14:30:12","2023-11-07 14:03:42"
"11","2023-01-11","HBSA3","2.19","760383000","0","2023-01-14 14:30:12","2023-11-07 14:03:42"
"12","2023-01-11","ORVR3","35.04","82950900","0","2023-01-14 14:30:12","2023-11-07 14:03:44"
"13","2023-01-11","SMFT3","14.84","586242000","0","2023-01-14 14:30:12","2023-11-07 14:03:47"
"14","2023-01-10","CBEE3","12.92","240210000","0.6","2023-01-14 14:30:12","2023-11-07 14:03:49"
"15","2023-01-11","VIIA3","2.6","1598430000","0","2023-01-14 14:30:12","2023-11-07 14:03:50"
"16","2023-01-11","AGXY3","9.74","170825000","1.7","2023-01-14 14:30:12","2023-11-07 14:03:53"
"17","2023-01-11","GFSA3","14.9","60417000","0","2023-01-14 14:30:12","2023-11-07 14:03:55"
"18","2023-01-11","AERI3","1.13","766213000","1.8","2023-01-14 14:30:12","2023-11-07 14:03:58"
"19","2023-01-11","DASA3","13.3","752800000","0.7","2023-01-14 14:30:12","2023-11-07 14:04:00"
"20","2023-01-11","ZAMP3","5.5","275355000","0","2023-01-14 14:30:12","2023-11-07 14:04:02"
"21","2023-01-11","AALR3","21.16","118293000","0","2023-01-14 14:30:12","2023-11-07 14:04:05"
"22","2023-01-11","LIGT3","4.77","372555000","5.3","2023-01-14 14:30:12","2023-11-07 14:04:07"
"23","2023-01-11","COGN3","2.24","1876610000","0","2023-01-14 14:30:12","2023-11-07 14:04:10"
"24","2023-01-11","CASH3","1.2","865180000","0","2023-01-14 14:30:12","2023-11-07 14:04:12"
"25","2023-01-11","DTCY3","4.98","11131000","0","2023-01-14 14:30:12","2023-11-07 14:04:15"
"26","2023-01-11","CEAB3","2.63","308245000","0","2023-01-14 14:30:12","2023-11-07 14:04:15"
"27","2023-01-11","NTCO3","12.7","1383150000","1","2023-01-14 14:30:12","2023-11-07 14:04:18"
"28","2023-01-11","EMBR3","15.59","740465000","0","2023-01-14 14:30:12","2023-11-07 14:04:20"
"29","2023-01-11","SHOW3","2.4","67413000","0","2023-01-14 14:30:12","2023-11-07 14:04:22"
"30","2023-01-11","MEAL3","2.96","286370000","0","2023-01-14 14:30:12","2023-11-07 14:04:25"
"31","2023-01-11","PEAB4","72","12850000","2.6","2023-01-14 14:30:12","2023-11-07 14:04:27"
"32","2022-12-23","MSPA4","41","6405000","0","2023-01-14 14:30:12","2023-11-07 14:04:28"
"33","2023-01-11","RCSL4","0.6","254578000","0","2023-01-14 14:30:12","2023-11-07 14:04:28"
"34","2023-01-11","SEQL3","3.5","140702000","0","2023-01-14 14:30:12","2023-11-07 14:04:30"
"35","2023-01-11","BRFS3","8.46","1082470000","0","2023-01-14 14:30:12","2023-11-07 14:04:33"
"36","2023-01-11","TELB4","10.55","86383000","0","2023-01-14 14:30:12","2023-11-07 14:04:35"
"37","2023-01-11","LUPA3","5.3","32297000","0","2023-01-14 14:30:12","2023-11-07 14:04:38"
"38","2023-01-11","SEER3","4.13","128722000","0","2023-01-14 14:30:12","2023-11-07 14:04:40"
"39","2023-01-05","NORD3","6.5","6621000","0","2023-01-14 14:30:12","2023-11-07 14:04:42"
"40","2023-01-10","CRDE3","15.21","2422000","0","2023-01-14 14:30:12","2023-11-07 14:04:43"
"41","2022-12-16","AHEB6","19.31","8544000","0","2023-01-14 14:30:12","2023-11-07 14:04:44"
"42","2023-01-11","BOBR4","1.22","260510000","0","2023-01-14 14:30:12","2023-11-07 14:04:44"
"43","2022-10-26","TCNO4","0.85","6620000","0","2023-01-14 14:30:12","2023-11-07 14:31:45"
"44","2023-01-11","ANIM3","3.89","403869000","0","2023-01-14 14:30:12","2023-11-07 14:04:46"
"45","2023-01-11","VIVR3","0.57","234784000","0","2023-01-14 14:30:12","2023-11-07 14:04:48"
"46","2023-01-11","MBLY3","3.22","106490000","0","2023-01-14 14:30:12","2023-11-07 14:04:51"
"47","2023-01-10","CTKA4","9.1","6205000","0","2023-01-14 14:30:12","2023-11-07 14:04:53"
"48","2023-01-11","TCSA3","3.05","73619000","0","2023-01-14 14:30:12","2023-11-07 14:04:55"
"49","2023-01-11","CVCB3","5.03","277247000","0","2023-01-14 14:30:12","2023-11-07 14:04:57"
"50","2023-01-11","ENJU3","1.14","200243000","0","2023-01-14 14:30:12","2023-11-07 14:04:59"
"51","2023-01-11","WEST3","1.02","110404000","0","2023-01-14 14:30:12","2023-11-07 14:05:02"
"52","2023-01-10","ESTR4","39.99","808000","0","2023-01-14 14:30:12","2023-11-07 14:05:04"
"53","2023-01-11","AMAR3","1.39","342843000","0","2023-01-14 14:30:12","2023-11-07 14:05:05"
"54","2023-01-11","ALPK3","1.79","214427000","0","2023-01-14 14:30:12","2023-11-07 14:05:08"
"55","2022-11-16","FRIO3","31","4107000","0","2023-01-14 14:30:12","2023-11-07 14:05:10"
"56","2023-01-11","AZUL4","12.35","348010000","0","2023-01-14 14:30:12","2023-11-07 14:05:10"
"57","2023-01-11","BRPR3","6.22","11611000","40.7","2023-01-14 14:30:12","2023-11-07 14:05:13"
"58","2023-01-11","DOTZ3","1.29","132068000","0","2023-01-14 14:30:12","2023-11-07 14:05:15"
"59","2023-01-11","CEDO4","3.78","10000000","0","2023-01-14 14:30:12","2023-11-07 14:05:18"
"60","2023-01-11","HETA4","4.17","510000","0","2023-01-14 14:30:12","2023-11-07 14:05:20"
"61","2023-01-11","LLIS3","1.77","848592000","0","2023-01-14 14:30:12","2023-11-07 14:31:45"
"62","2023-01-11","FRTA3","2.72","2053610","0","2023-01-14 14:30:12","2023-11-07 14:05:21"
"63","2023-01-11","PLAS3","9.36","12425000","0","2023-01-14 14:30:12","2023-11-07 14:05:23"
"64","2023-01-11","CTSA4","1.68","27825000","14.2","2023-01-14 14:30:12","2023-11-07 14:05:24"
"65","2023-01-11","OIBR4","4.87","660304000","0","2023-01-14 14:30:12","2023-11-07 14:05:26"
"66","2023-01-11","TXRX4","3.5","4259000","0","2023-01-14 14:30:12","2023-11-07 14:05:29"
"67","2023-01-11","TEND3","5.03","104344000","0","2023-01-14 14:30:12","2023-11-07 14:05:31"
"68","2023-01-11","GOLL4","8.19","418653000","0","2023-01-14 14:30:12","2023-11-07 14:05:33"
"69","2023-01-11","NEXP3","0.32","2655570","0","2023-01-14 14:30:12","2023-11-07 14:05:36"
"70","2023-01-11","JFEN3","0.74","21041000","0","2023-01-14 14:30:12","2023-11-07 14:05:38"
"71","2023-01-11","AVLL3","7.56","22415800","0","2023-01-14 14:30:12","2023-11-07 14:05:40"
"72","2023-01-11","CTNM4","1.82","30636000","0","2023-01-14 14:30:12","2023-11-07 14:31:46"
"73","2023-01-11","RSID3","2.88","20000000","0","2023-01-14 14:30:12","2023-11-07 14:05:42"
"74","2023-01-11","GSHP3","23.01","1928770","0","2023-01-14 14:30:12","2023-11-07 14:05:44"
"75","2023-01-11","SNSY5","3.36","7716000","0","2023-01-14 14:30:12","2023-11-07 14:05:45"
"76","2023-01-11","SGPS3","1.3","50000000","0","2023-01-14 14:30:12","2023-11-07 14:31:49"
"77","2023-01-11","TEKA4","16.3","503000","0","2023-01-14 14:30:12","2023-11-07 14:05:47"
"78","2023-01-11","ATMP3","1.3","26710000","0","2023-01-14 14:30:12","2023-11-07 14:05:49"
"79","2023-01-11","OSXB3","6.38","3148000","0","2023-01-14 14:30:12","2023-11-07 14:05:51"
"80","2023-01-11","PDGR3","0.19","3222000","0","2023-01-14 14:30:12","2023-11-07 14:05:54"
"81","2023-01-11","SLED4","2.05","9635000","0","2023-01-14 14:30:12","2023-11-07 14:05:56"
"82","2023-01-11","HOOT4","1.2","18372000","0","2023-01-14 14:30:12","2023-11-07 14:05:58"
"83","2023-01-11","INEP4","1.28","183431000","0","2023-01-14 14:30:12","2023-11-07 14:06:01"
"84","2023-01-11","SYNE3","4.22","152644000","12.4","2023-01-14 14:30:12","2023-11-07 14:06:03"
"85","2023-01-11","MWET4","10","2058000","0","2023-01-14 14:30:12","2023-11-07 14:06:05"
"86","2023-01-11","MGEL4","12.25","5783210","0","2023-01-14 14:30:12","2023-11-07 14:06:08"
"87","2023-01-11","MRFG3","8.64","660000000","26.3","2023-01-14 14:30:12","2023-11-07 14:06:10"
"88","2023-01-11","PETR4","24.28","13044500000","68.9","2023-01-14 14:30:12","2023-11-07 14:06:12"
"89","2023-01-11","EUCA4","7.44","92619000","10.6","2023-01-14 14:30:12","2023-11-07 14:06:14"
"90","2023-01-11","JBSS3","22.41","2218120000","9","2023-01-14 14:30:12","2023-11-07 14:06:17"
"91","2023-01-11","RNEW4","2","249484000","0","2023-01-14 14:30:12","2023-11-07 14:06:19"
"92","2023-01-06","BDLL4","9","1600000","0","2023-01-14 14:30:12","2023-11-07 14:06:21"
"93","2023-01-11","HBRE3","4.61","103189000","0","2023-01-14 14:30:12","2023-11-07 14:06:22"
"94","2023-01-11","FHER3","17.6","53857000","0","2023-01-14 14:30:12","2023-11-07 14:06:25"
"95","2023-01-11","TASA4","12.93","126634000","11.8","2023-01-14 14:30:12","2023-11-07 14:06:27"
"96","2023-01-11","GOAU4","14.04","1033840000","9.4","2023-01-14 14:30:12","2023-11-07 14:06:29"
"97","2023-01-11","USIM6","12.49","1253080000","5","2023-01-14 14:30:12","2023-11-07 14:06:32"
"98","2023-01-11","EALT4","6.78","22500000","18.5","2023-01-14 14:30:12","2023-11-07 14:06:32"
"99","2023-01-11","MOVI3","8","362302000","18.1","2023-01-14 14:30:12","2023-11-07 14:06:35"
"100","2023-01-11","JALL3","7.14","294697000","2.5","2023-01-14 14:30:12","2023-11-07 14:06:37"
"101","2023-01-11","BALM4","9.9","9800000","3.6","2023-01-14 14:30:12","2023-11-07 14:06:39"
"102","2023-01-11","LOGG3","15.92","102159000","5.4","2023-01-14 14:30:12","2023-11-07 14:06:41"
"103","2023-01-11","HAGA4","1.15","11900000","0","2023-01-14 14:30:12","2023-11-07 14:06:43"
"104","2023-01-11","GGBR4","32.13","1757070000","11.6","2023-01-14 14:30:12","2023-11-07 14:06:45"
"105","2023-01-09","TKNO4","70","2948000","9.3","2023-01-14 14:30:12","2023-11-07 14:06:48"
"106","2023-01-11","CEBR6","10.75","72082000","36.2","2023-01-14 14:30:12","2023-11-07 14:06:48"
"107","2023-01-11","NEOE3","14.9","1213800000","6.2","2023-01-14 14:30:12","2023-11-07 14:06:51"
"108","2023-01-11","GPAR3","45","77928000","50.5","2023-01-14 14:30:12","2023-11-07 14:06:53"
"109","2023-01-11","JHSF3","4.95","679329000","4.3","2023-01-14 14:30:12","2023-11-07 14:06:53"
"110","2023-01-11","FESA4","54.78","88320000","9.8","2023-01-14 14:30:12","2023-11-07 14:06:56"
"111","2023-01-11","ENAT3","14.36","265807000","11.9","2023-01-14 14:30:12","2023-11-07 14:06:58"
"112","2023-01-11","UCAS3","2.45","66086000","7.4","2023-01-14 14:30:12","2023-11-07 14:07:01"
"113","2022-08-29","NUTR3","280","132000","0","2023-01-14 14:30:12","2023-11-07 14:07:03"
"114","2023-01-11","MTSA4","41.36","8789730","6.4","2023-01-14 14:30:12","2023-11-07 14:07:04"
"115","2023-01-11","UNIP6","80.02","103876000","17.1","2023-01-14 14:30:12","2023-11-07 14:07:06"
"116","2023-01-11","DEXP4","6.38","94014000","6.4","2023-01-14 14:30:12","2023-11-07 14:07:08"
"117","2023-01-11","MDNE3","5.87","84909000","0","2023-01-14 14:30:12","2023-11-07 14:07:11"
"118","2023-01-11","PTNT4","6.58","48046500","4.8","2023-01-14 14:30:12","2023-11-07 14:07:13"
"119","2023-01-11","KLBN4","3.98","5617890000","7.6","2023-01-14 14:30:12","2023-11-07 14:07:15"
"120","2023-01-11","SAPR4","3.55","1511210000","8.7","2023-01-14 14:30:12","2023-11-07 14:07:18"
"121","2023-01-11","CGRA4","29.05","19346900","11.7","2023-01-14 14:30:12","2023-11-07 14:07:20"
"122","2022-11-14","SOND6","32.35","2458000","20.5","2023-01-14 14:30:12","2023-11-07 14:07:22"
"123","2023-01-11","AFLT3","9.28","63085000","2.5","2023-01-14 14:30:12","2023-11-07 14:07:23"
"124","2023-01-11","PFRM3","3.45","123813000","5","2023-01-14 14:30:12","2023-11-07 14:07:24"
"125","2023-01-11","KEPL3","19.5","179720000","10.3","2023-01-14 14:30:12","2023-11-07 14:07:27"
"126","2023-01-11","TECN3","2.46","72706000","3.5","2023-01-14 14:30:12","2023-11-07 14:07:29"
"127","2022-12-21","CEEB5","31.33","262096000","20.2","2023-01-14 14:30:12","2023-11-07 14:07:31"
"128","2023-01-11","RAPT4","8.38","329331000","10.3","2023-01-14 14:30:12","2023-11-07 14:07:32"
"129","2023-01-11","ENBR3","20.05","581165000","12.7","2023-01-14 14:30:12","2023-11-07 14:07:34"
"130","2023-01-11","DXCO3","7.09","837059000","4.2","2023-01-14 14:30:12","2023-11-07 14:07:36"
"131","2023-01-11","CCRO3","11.36","2020000000","3.3","2023-01-14 14:30:12","2023-11-07 14:07:39"
"132","2023-01-11","ATOM3","2.37","23805000","2.6","2023-01-14 14:30:12","2023-11-07 14:07:41"
"133","2023-01-11","RSUL4","59.01","5938710","3.3","2023-01-14 14:30:12","2023-11-07 14:07:44"
"134","2023-01-11","POSI3","8.35","141800000","4.1","2023-01-14 14:30:12","2023-11-07 14:07:46"
"135","2023-01-11","TRPL4","22.51","658883000","4.7","2023-01-14 14:30:12","2023-11-07 14:07:48"
"136","2023-01-11","WLMM4","18.4","36414700","6.5","2023-01-14 14:30:12","2023-11-07 14:07:51"
"137","2023-01-11","HBOR3","2.38","133851000","7.6","2023-01-14 14:30:12","2023-11-07 14:07:53"
"138","2023-01-11","MELK3","3.2","206269000","6.7","2023-01-14 14:30:12","2023-11-07 14:07:55"
"139","2023-01-11","CAML3","7.67","350000000","4.8","2023-01-14 14:30:12","2023-11-07 14:07:57"
"140","2023-01-11","BMKS3","311","454750","5.7","2023-01-14 14:30:12","2023-11-07 14:08:00"
"141","2023-01-11","ENGI4","7.16","2039090000","3.2","2023-01-14 14:30:12","2023-11-07 14:08:02"
"142","2023-01-11","SMTO3","23.85","354011000","4.8","2023-01-14 14:30:12","2023-11-07 14:08:05"
"143","2023-01-11","TAEE4","11.6","1033500000","17.8","2023-01-14 14:30:12","2023-11-07 14:08:07"
"144","2023-01-11","AGRO3","28.37","102377000","18.5","2023-01-14 14:30:12","2023-11-07 14:08:09"
"145","2023-01-10","EKTR4","36.74","193759000","21.2","2023-01-14 14:30:12","2023-11-07 14:08:12"
"146","2023-01-11","SHUL4","4.88","357375000","4.4","2023-01-14 14:30:12","2023-11-07 14:08:13"
"147","2023-01-11","CSUD3","11.47","41800000","8.1","2023-01-14 14:30:12","2023-11-07 14:08:16"
"148","2023-01-11","CMIG4","11.68","2201370000","11.7","2023-01-14 14:30:12","2023-11-07 14:08:18"
"149","2023-01-11","CSRN6","21.99","168074000","20.1","2023-01-14 14:30:12","2023-11-07 14:08:21"
"150","2023-01-11","EVEN3","4.9","212000000","3.1","2023-01-14 14:30:12","2023-11-07 14:08:21"
"151","2023-01-11","WIZS3","7.02","159907000","8.4","2023-01-14 14:30:12","2023-11-07 14:31:52"
"152","2023-01-11","SLCE3","45.5","233665000","6.1","2023-01-14 14:30:12","2023-11-07 14:08:24"
"153","2023-01-11","CPFE3","32.56","1152250000","10","2023-01-14 14:30:12","2023-11-07 14:08:26"
"154","2023-01-11","ALLD3","6.26","93220600","14.8","2023-01-14 14:30:12","2023-11-07 14:08:29"
"155","2023-01-11","SBFG3","11.71","243596000","1","2023-01-14 14:30:12","2023-11-07 14:08:31"
"156","2023-01-10","CRPG6","29.99","29019000","15.9","2023-01-14 14:30:12","2023-11-07 14:08:34"
"157","2023-01-11","PLPL3","4.18","204256000","3.9","2023-01-14 14:30:12","2023-11-07 14:08:35"
"158","2023-01-11","PRNR3","8.21","38908000","3.6","2023-01-14 14:30:12","2023-11-07 14:08:38"
"159","2023-01-11","EZTC3","13.74","220989000","5.8","2023-01-14 14:30:12","2023-11-07 14:08:40"
"160","2023-01-11","QUAL3","6.73","284014000","3.8","2023-01-14 14:30:12","2023-11-07 14:08:43"
"161","2023-01-11","DMVF3","4.03","50603000","0","2023-01-14 14:30:12","2023-11-07 14:08:45"
"162","2023-01-11","ALUP4","9.41","914276000","4.4","2023-01-14 14:30:12","2023-11-07 14:08:48"
"163","2023-01-11","MRVE3","7.82","483784000","5.1","2023-01-14 14:30:12","2023-11-07 14:08:50"
"164","2023-01-11","VBBR3","15.04","1165000000","5.7","2023-01-14 14:30:12","2023-11-07 14:08:53"
"165","2023-01-11","CMIN3","4.52","5485340000","20.6","2023-01-14 14:30:12","2023-11-07 14:08:55"
"166","2023-01-11","BRKM6","21.89","797208000","0","2023-01-14 14:30:12","2023-11-07 14:08:58"
"167","2023-01-11","CSMG3","15.62","380253000","2.5","2023-01-14 14:30:12","2023-11-07 14:08:59"
"168","2023-01-11","CSNA3","17.15","1326090000","14.1","2023-01-14 14:30:12","2023-11-07 14:09:01"
"169","2022-12-14","CEED4","35","68255000","0","2023-01-14 14:30:12","2023-11-07 14:09:04"
"170","2023-01-11","LAVV3","5.01","199534000","12.3","2023-01-14 14:30:12","2023-11-07 14:09:04"
"171","2023-01-11","TGMA3","18.74","66003000","6","2023-01-14 14:30:12","2023-11-07 14:09:06"
"172","2023-01-11","CIEL3","5.11","2716820000","4.9","2023-01-14 14:30:12","2023-11-07 14:09:09"
"173","2023-01-11","GRND3","6.52","902160000","4.7","2023-01-14 14:30:12","2023-11-07 14:09:11"
"174","2023-01-11","CGAS5","130.3","132521000","11.8","2023-01-14 14:30:12","2023-11-07 14:09:14"
"175","2023-01-11","PRIO3","39.02","887229000","0","2023-01-14 14:30:12","2023-11-07 14:09:16"
"176","2023-01-11","POMO4","2.85","946893000","5","2023-01-14 14:30:12","2023-11-07 14:09:19"
"177","2023-01-11","JSLG3","5.7","286431000","7.9","2023-01-14 14:30:12","2023-11-07 14:09:21"
"178","2023-01-11","BEEF3","14.49","607283000","3.9","2023-01-14 14:30:12","2023-11-07 14:09:24"
"179","2023-01-11","CURY3","12.41","291875000","4.2","2023-01-14 14:30:12","2023-11-07 14:09:26"
"180","2023-01-11","SOJA3","10.72","117140000","1","2023-01-14 14:30:12","2023-11-07 14:09:29"
"181","2022-12-12","BRGE6","12.01","73646000","6.3","2023-01-14 14:30:12","2023-11-07 14:09:31"
"182","2023-01-11","SIMH3","7.26","838408000","9","2023-01-14 14:30:12","2023-11-07 14:09:31"
"183","2023-01-11","AZEV4","1.77","77180000","0","2023-01-14 14:30:12","2023-11-07 14:09:34"
"184","2023-01-11","OFSA3","26.8","53949000","2.5","2023-01-14 14:30:12","2023-11-07 14:09:36"
"185","2023-01-11","VITT3","11.81","143049000","3.1","2023-01-14 14:30:12","2023-11-07 14:09:39"
"186","2023-01-11","MILS3","10.27","246309000","2.6","2023-01-14 14:30:12","2023-11-07 14:09:41"
"187","2023-01-11","TRIS3","3.7","186618000","5.9","2023-01-14 14:30:12","2023-11-07 14:09:44"
"188","2022-12-26","JOPA4","37.4","10582000","2.4","2023-01-14 14:30:12","2023-11-07 14:09:46"
"189","2023-01-11","SBSP3","55.83","683510000","1.7","2023-01-14 14:30:12","2023-11-07 14:09:46"
"190","2023-01-11","ODPV3","9.85","552496000","3.1","2023-01-14 14:30:12","2023-11-07 14:09:49"
"191","2023-01-06","BRML3","8.26","828274000","0.6","2023-01-14 14:30:12","2023-11-07 14:09:51"
"192","2023-01-11","DIRR3","15.13","150000000","7.7","2023-01-14 14:30:12","2023-11-07 14:09:51"
"193","2023-01-11","CRFB3","14.53","2104770000","2.3","2023-01-14 14:30:12","2023-11-07 14:09:54"
"194","2023-01-11","TIMS3","11.7","2420800000","4.9","2023-01-14 14:30:12","2023-11-07 14:09:56"
"195","2023-01-11","EQTL3","27.36","1129320000","2.3","2023-01-14 14:30:12","2023-11-07 14:09:59"
"196","2023-01-11","PSSA3","23.62","646586000","4.9","2023-01-14 14:30:12","2023-11-07 14:10:01"
"197","2023-01-11","WHRL4","4.95","1502790000","4.2","2023-01-14 14:30:12","2023-11-07 14:10:04"
"198","2023-01-11","MTRE3","4.78","105775000","6.9","2023-01-14 14:30:12","2023-11-07 14:10:06"
"199","2023-01-11","ENMT4","82","218942000","4.3","2023-01-14 14:30:12","2023-11-07 14:10:11"
"200","2023-01-11","GMAT3","6.37","2209350000","0","2023-01-14 14:30:12","2023-11-07 14:10:12"
"201","2023-01-11","DOHL4","4.27","75645000","3.1","2023-01-14 14:30:12","2023-11-07 14:10:14"
"202","2023-01-11","BMOB3","14.63","90909100","1.4","2023-01-14 14:30:12","2023-11-07 14:10:16"
"203","2023-01-11","BLAU3","26.75","179394000","3.2","2023-01-14 14:30:12","2023-11-07 14:10:19"
"204","2023-01-11","BOAS3","7.8","532614000","3.4","2023-01-14 14:30:12","2023-11-07 14:10:21"
"205","2023-01-11","VIVA3","22.11","236198000","0.2","2023-01-14 14:30:12","2023-11-07 14:10:24"
"206","2023-01-11","PARD3","21.26","126839000","3","2023-01-14 14:30:12","2023-11-07 14:10:26"
"207","2023-01-11","RDNI3","6.45","43770000","0.9","2023-01-14 14:30:12","2023-11-07 14:10:28"
"208","2022-10-28","PATI4","51.99","23932000","5.6","2023-01-14 14:30:12","2023-11-07 14:10:30"
"209","2023-01-11","STBP3","8.14","864170000","8.1","2023-01-14 14:30:12","2023-11-07 14:10:30"
"210","2023-01-11","GEPA4","26.4","94433000","9.1","2023-01-14 14:30:12","2023-11-07 14:10:33"
"211","2023-01-11","FLRY3","15.96","521129000","5.4","2023-01-14 14:30:12","2023-11-07 14:10:35"
"212","2022-03-07","EQPA6","10.69","2209070000","8.3","2023-01-14 14:30:12","2023-11-07 14:10:37"
"213","2023-01-11","EGIE3","38.87","815928000","7.7","2023-01-14 14:30:12","2023-11-07 14:10:37"
"214","2023-01-11","ABEV3","14.29","15753800000","5.3","2023-01-14 14:30:12","2023-11-07 14:10:40"
"215","2023-01-11","TFCO4","10.54","159718000","1.7","2023-01-14 14:30:12","2023-11-07 14:10:42"
"216","2022-07-01","LCAM3","24.15","508729000","5.1","2023-01-14 14:30:12","2023-11-07 14:31:54"
"217","2023-01-11","HYPE3","45.03","633421000","2.7","2023-01-14 14:30:12","2023-11-07 14:10:45"
"218","2023-01-11","MULT3","22.72","600761000","3.2","2023-01-14 14:30:12","2023-11-07 14:10:47"
"219","2023-01-11","ENEV3","12.66","1584450000","0","2023-01-14 14:30:12","2023-11-07 14:10:49"
"220","2023-01-11","MDIA3","34.51","339000000","5.6","2023-01-14 14:30:12","2023-11-07 14:10:52"
"221","2023-01-11","B3SA3","13.45","5819000000","3.6","2023-01-14 14:30:12","2023-11-07 14:10:54"
"222","2023-01-11","ASAI3","19.76","1350260000","0.8","2023-01-14 14:30:12","2023-11-07 14:10:57"
"223","2023-01-11","PGMN3","4.49","463830000","0","2023-01-14 14:30:12","2023-11-07 14:10:59"
"224","2023-01-11","ARZZ3","79","110186000","2.3","2023-01-14 14:30:12","2023-11-07 14:11:02"
"225","2023-01-11","ELET6","43.91","2307100000","2.4","2023-01-14 14:30:12","2023-11-07 14:11:04"
"226","2023-01-11","CSAN3","17.4","1874070000","2.5","2023-01-14 14:30:12","2023-11-07 14:11:07"
"227","2023-01-11","ECOR3","4.86","696334000","0.2","2023-01-14 14:30:12","2023-11-07 14:11:09"
"228","2022-05-27","EEEL4","410","9658000","33.9","2023-01-14 14:30:12","2023-11-07 14:11:11"
"229","2023-01-11","EMAE4","66","36947000","1.3","2023-01-14 14:30:12","2023-11-07 14:11:11"
"230","2023-01-11","ALPA4","15.13","683062000","0","2023-01-14 14:30:12","2023-11-07 14:11:14"
"231","2022-12-27","HBTS5","29","9133690","4","2023-01-14 14:30:12","2023-11-07 14:11:16"
"232","2023-01-11","CPLE6","7.79","2736550000","11.4","2023-01-14 14:30:12","2023-11-07 14:11:17"
"233","2023-01-11","VLID3","9.11","81836000","3","2023-01-14 14:30:12","2023-11-07 14:11:20"
"234","2023-01-11","INTB3","32.19","327611000","1.1","2023-01-14 14:30:12","2023-11-07 14:11:22"
"235","2023-01-11","LPSB3","2.17","147555000","3.5","2023-01-14 14:30:12","2023-11-07 14:11:24"
"236","2023-01-11","VAMO3","13.21","1025400000","2","2023-01-14 14:30:12","2023-11-07 14:11:27"
"237","2022-03-25","CESP6","25.25","327503000","0","2023-01-14 14:30:12","2023-11-07 14:11:29"
"238","2023-01-11","AMBP3","21.1","112936000","1.4","2023-01-14 14:30:12","2023-11-07 14:11:29"
"239","2023-01-11","SOMA3","10.2","784747000","0.9","2023-01-14 14:30:12","2023-11-07 14:11:32"
"240","2023-01-11","LOGN3","34.6","106477000","0","2023-01-14 14:30:12","2023-11-07 14:11:34"
"241","2023-01-11","APER3","27.26","19562000","0.2","2023-01-14 14:30:12","2023-11-07 14:11:37"
"242","2023-01-11","RAIZ4","3.58","10352500000","4.1","2023-01-14 14:30:12","2023-11-07 14:11:39"
"243","2023-01-11","RENT3","55.02","988436000","2.1","2023-01-14 14:30:12","2023-11-07 14:11:42"
"244","2023-01-11","CSED3","3.79","367049000","3.5","2023-01-14 14:30:12","2023-11-07 14:11:44"
"245","2023-01-11","ARML3","11.99","346016000","3.4","2023-01-14 14:30:12","2023-11-07 14:11:47"
"246","2023-01-11","ALSO3","18.29","573937000","0.9","2023-01-14 14:30:12","2023-11-07 14:11:49"
"247","2023-01-11","TOTS3","29.15","617183000","1.1","2023-01-14 14:30:12","2023-11-07 14:11:52"
"248","2022-10-26","CEPE6","43","74612000","9.6","2023-01-14 14:30:12","2023-11-07 14:11:54"
"249","2023-01-11","RRRP3","44.41","203088000","0","2023-01-14 14:30:12","2023-11-07 14:11:54"
"250","2023-01-11","SQIA3","15.91","87942000","0.4","2023-01-14 14:30:12","2023-11-07 14:11:57"
"251","2023-01-11","RADL3","24.27","1651930000","1","2023-01-14 14:30:12","2023-11-07 14:11:59"
"252","2023-01-11","RDOR3","27.4","2289290000","1.3","2023-01-14 14:30:12","2023-11-07 14:12:01"
"253","2022-04-06","CEGR3","89","259638000","0.8","2023-01-14 14:30:12","2023-11-07 14:12:04"
"254","2022-12-07","BAUH4","83.89","5222000","0","2023-01-14 14:30:12","2023-11-07 14:12:04"
"255","2023-01-11","PETZ3","6.39","462471000","0.3","2023-01-14 14:30:12","2023-11-07 14:12:04"
"256","2022-12-28","LUXM4","81.99","5196000","0.8","2023-01-14 14:30:12","2023-11-07 14:12:07"
"257","2023-01-10","MOAR3","450","12251000","3.3","2023-01-14 14:30:12","2023-11-07 14:12:08"
"258","2022-12-23","SULA4","7.63","1277530000","0.3","2023-01-14 14:30:12","2023-11-07 14:31:54"
